step,eval_return
10000,171.63982824252494
20000,168.6138905980573
30000,169.74210642399004
40000,265.32398248427825
50000,1005.3747538400532
60000,472.5426425416783
70000,245.8490291678817
80000,207.1481166650489
90000,1636.1753947668021
100000,564.623821936819
110000,714.5458971637896
120000,428.48264637759786
130000,372.62931780273493
140000,1379.1519147172874
150000,1963.150763018613
160000,693.2183711769974
170000,1216.1523686846024
180000,2333.184841137113
190000,933.8742749405155
200000,2361.456151036681
210000,2577.888112813797
220000,773.2591673473662
230000,591.0953972943319
240000,1744.7379686230931
250000,2783.3378292203697
260000,1851.4335671594513
270000,3166.5047686075864
280000,3081.762445503833
290000,2663.7337260409327
300000,2572.669583687641
310000,1887.764941033002
320000,1359.679715252211
330000,2727.856257812453
340000,2494.8783929681435
350000,3075.3484566572943
360000,2663.1358146005327
370000,3107.5904969272315
380000,3185.149469305974
390000,3102.546800902349
400000,3209.3696125701763
410000,970.4110322154966
420000,1586.7928136038581
430000,1323.4636854002097
440000,2439.6940048133933
450000,3198.3605302839665
460000,2744.286056613882
470000,985.4577784123067
480000,2817.3799654095324
490000,3125.6870909776185
500000,895.4853498534009
