step,eval_return
10000,99.42567379509279
20000,139.54642336478915
30000,206.5378551140105
40000,471.2681165837692
50000,319.09402212928404
60000,308.96825426758096
70000,395.85185637705194
80000,319.70077681173177
90000,412.5483734767825
100000,167.44025544834736
110000,552.3302116941486
120000,990.7378452028892
130000,608.2187848047184
140000,850.3640600613389
150000,837.3905041486511
160000,878.5499748746837
170000,675.2416583667148
180000,1339.5802957830142
190000,868.2670593205108
200000,1332.3138270896088
210000,608.410806772639
220000,255.24580322362073
230000,701.0881114691846
240000,321.74249138862035
250000,1176.9826029350038
260000,344.05524596196426
270000,311.8215902035099
280000,323.9955876903586
290000,733.1321188701354
300000,884.3297119746743
310000,1316.7262740981332
320000,801.2472467815888
330000,1571.8645158313548
340000,1817.014238381688
350000,1287.1422700698683
360000,1750.9432750253272
370000,2075.0394443743144
380000,2644.1403083438063
390000,2365.6440639934813
400000,3051.6842617004695
410000,2295.736999165095
420000,727.0098542570483
430000,1301.320438461352
440000,2235.0138794878562
450000,2218.057744257106
460000,1616.6443769850634
470000,519.0279319077747
480000,1958.5564701650997
490000,189.98384326880523
500000,625.97850474389
