step,eval_return
10000,-247.6388034605276
20000,-555.7588415773567
30000,-97.18145197597278
40000,1108.4156249479706
50000,1260.9966856210306
60000,1780.7418256464844
70000,2457.1726425230117
80000,1960.1042959384008
90000,3055.96179767379
100000,3357.043947105306
110000,3320.5059914223907
120000,3856.114601972068
130000,3633.5416830680456
140000,4179.13975152793
150000,4319.518862123245
160000,4446.0231554493275
170000,4495.160528552939
180000,4799.818793167027
190000,4722.236967754244
200000,5274.161395098824
210000,5166.502718329559
220000,5107.170637215674
230000,4681.888961412862
240000,5472.103377351212
250000,5642.874663424625
260000,5767.574535810908
270000,5448.599388444296
280000,5704.448072108084
290000,5732.820895704045
300000,5999.023089634035
310000,5672.628758673725
320000,6029.392972983968
330000,5866.120289632666
340000,4838.752208793944
350000,5800.213046722657
360000,6032.303100323688
370000,5815.310769058497
380000,6086.258892639695
390000,5895.404010385453
400000,6057.588219020705
410000,6186.331254180407
420000,6034.696641723419
430000,6072.400277419776
440000,6235.7463059045085
450000,6283.8302500915615
460000,6214.226624485734
470000,6150.20777042924
480000,6382.633378221746
490000,6272.8887518224265
500000,6314.994417685879
