step,eval_return
10000,-434.39792765237917
20000,-544.7279977884475
30000,752.1955396451793
40000,2053.1355373716624
50000,2027.3309058392745
60000,3129.6779278871813
70000,3303.0446143029694
80000,3491.097492555903
90000,3615.1557097142017
100000,3625.1700440164423
110000,3662.5462033319063
120000,3809.933305592691
130000,3859.395989896807
140000,3922.8795610329553
150000,3979.541444339683
160000,4031.9307737509234
170000,4015.210240165994
180000,4077.6977931812653
190000,4106.0557856578225
200000,4115.663694293454
210000,4205.725010580647
220000,4248.802602681012
230000,4344.507459924297
240000,4266.354079454742
250000,4408.605430034998
260000,4303.929771268833
270000,4372.707741362369
280000,4369.656069370158
290000,4286.973656028478
300000,4463.1678766787345
310000,4523.614300635671
320000,4635.339184465082
330000,4652.6406438136955
340000,4748.273247242358
350000,4710.687668416146
360000,4808.341858586983
370000,4887.496203816227
380000,4945.420954688086
390000,4934.532339886333
400000,5078.725030944546
410000,5112.296973958432
420000,5062.356550078031
430000,4900.553312356298
440000,5439.621967437059
450000,5395.793294576239
460000,5385.985187969977
470000,5540.34425189232
480000,5539.8635288189125
490000,5783.940756329946
500000,5591.4626488679905
