step,eval_return
10000,57.389006068056254
20000,-5.207937304529966
30000,376.96807531126234
40000,226.6456990093828
50000,241.9019188528091
60000,303.2258494689658
70000,575.4729842148514
80000,801.3625693560365
90000,142.16338642626437
100000,290.3735335589097
110000,179.47215227125267
120000,330.2674642123973
130000,245.35777527118103
140000,314.18326627760814
150000,324.1300944181652
160000,321.691191876258
170000,327.9467839079799
180000,330.34462653562304
190000,280.7166114758951
200000,347.3044658260163
210000,200.97720665843764
220000,340.8465765080339
230000,338.64030955981605
240000,328.6948009635747
250000,334.94888577839146
260000,346.5631594427772
270000,324.35221391763787
280000,365.83028867739654
290000,362.20103859453377
300000,361.7574201513566
310000,370.5141324096032
320000,379.58353731964354
330000,352.5699270981755
340000,439.27118248448625
350000,553.5388865280546
360000,1047.0200134585175
370000,392.963203216861
380000,951.4156535656609
390000,547.7139918966146
400000,536.6217807329182
410000,748.1324237720713
420000,1040.0272809982807
430000,713.4924921083577
440000,547.8530883510705
450000,958.128400756366
460000,953.2182722019741
470000,915.8493708452281
480000,898.7583188583246
490000,694.5535889677298
500000,635.5718190309658
