step,eval_return
10000,130.1218059898212
20000,181.37608033004386
30000,200.49850599287893
40000,230.83914179781897
50000,982.2833718896139
60000,373.9067447332356
70000,991.3366269571967
80000,1009.6987715297668
90000,1048.9684678164408
100000,979.72728972037
110000,604.0886134260456
120000,917.4523175334158
130000,1059.8360194249203
140000,1059.5074731941256
150000,306.7530835933206
160000,324.9775062692136
170000,394.3270507859622
180000,381.97735691695266
190000,410.5153233227849
200000,404.2247125170891
210000,404.43027932404334
220000,405.5662428020116
230000,410.1198741675545
240000,408.97662685441026
250000,410.8333106243078
260000,411.8000009398905
270000,412.72396341342676
280000,414.0159959519183
290000,413.50790470258454
300000,415.10778306261443
310000,415.5888712440651
320000,413.6947543027075
330000,413.62857594011587
340000,414.8013966830845
350000,416.0186277865238
360000,413.24883614489426
370000,414.3850171643833
380000,417.11410597411185
390000,417.5054147393263
400000,417.7747651806684
410000,416.66319854370204
420000,421.42630611957094
430000,420.15681495215415
440000,423.00454489231
450000,421.918657988158
460000,422.465739688778
470000,422.62943657398284
480000,424.4528111539233
490000,421.76436398250945
500000,423.6601364536127
