step,eval_return
10000,72.52953690160982
20000,307.001046430296
30000,-11.384286961398576
40000,4.222935901315594
50000,172.47677094205613
60000,190.88727771001356
70000,151.06700222394923
80000,166.08253183102565
90000,128.1658045737012
100000,165.38642661655567
110000,212.52965275454744
120000,256.7813371502377
130000,134.45030442981943
140000,250.08823041231625
150000,273.09240725829227
160000,265.9266524354313
170000,277.9249243516052
180000,246.60825396951319
190000,271.2135231026178
200000,411.0503579476402
210000,334.14454013909307
220000,273.93071390430237
230000,398.1848580565917
240000,150.631450865531
250000,333.01906861984673
260000,314.4988922696263
270000,394.29884900049234
280000,369.41593797548484
290000,523.192803877592
300000,183.0187796077003
310000,509.35926230882626
320000,427.30125287402814
330000,582.9750755249021
340000,509.2313715837694
350000,311.0859060285906
360000,794.2578540619828
370000,600.2756219800165
380000,920.1114792072242
390000,1261.4459610634963
400000,456.3846498317604
410000,1142.683066252961
420000,1470.5920801767843
430000,1465.8631775906154
440000,901.8658432043051
450000,2393.5690455886383
460000,1621.8074192477109
470000,1845.1774307117253
480000,1756.6915977264678
490000,1096.7315451933546
500000,1697.4362188094783
