step,eval_return
10000,-390.56193022100285
20000,-554.155434599322
30000,-455.9111491317026
40000,248.09019263187764
50000,1204.1780125322377
60000,927.0645995142795
70000,1558.3937003218962
80000,2855.276390544934
90000,3304.423892199953
100000,3600.949962605572
110000,3903.4806703528493
120000,3363.8775590360397
130000,4081.734667165742
140000,3889.1071305327278
150000,3953.670697699791
160000,4360.231456470184
170000,3266.520997958151
180000,4413.374062750899
190000,4352.088920133457
200000,4420.558779369743
210000,4240.065740177721
220000,4008.9046265508923
230000,4800.169070289087
240000,4270.36544750756
250000,4421.820142827698
260000,4638.3930224146925
270000,4894.744691001994
280000,4918.693353691002
290000,5041.751858962259
300000,5246.6127030912485
310000,4857.672796476926
320000,5395.670264549748
330000,5406.501191366353
340000,5321.951664482409
350000,4887.894817615667
360000,5454.072792158355
370000,5625.355194458874
380000,5534.605370327328
390000,5615.053158007684
400000,5600.695730126467
410000,5880.908489196465
420000,5803.685457012131
430000,5800.379309254757
440000,5925.263251998399
450000,5939.932436698553
460000,5807.122145188081
470000,5860.277902109514
480000,5821.158792310824
490000,5978.925630215842
500000,5885.867894043062
