step,eval_return
10000,-623.4863349380123
20000,-561.0244220113676
30000,-592.7376583078213
40000,696.9945342696368
50000,1653.1968464784732
60000,1444.1106315437469
70000,324.8046636836698
80000,2514.6234225756116
90000,3258.6282361556864
100000,4087.650224346196
110000,2779.8303145514133
120000,2760.0067931034873
130000,4110.218883021002
140000,4321.524931249394
150000,4426.019336339669
160000,4627.870547752382
170000,4527.692952562304
180000,4242.448158186239
190000,4627.707652465253
200000,4574.642899020029
210000,4720.273169046214
220000,4948.475818699887
230000,4603.692018187578
240000,4845.369831617734
250000,4801.709187933227
260000,4544.925352638664
270000,4668.848402154932
280000,4853.402332857522
290000,4899.628823058117
300000,4917.055050355554
310000,4947.629005042507
320000,4966.3160144745425
330000,5097.539271079828
340000,5001.002770471774
350000,5097.0351291450115
360000,5212.7666070314135
370000,5223.266724810064
380000,5170.465625026962
390000,5512.0231443763905
400000,5667.372769792346
410000,5701.281880249449
420000,5697.85440126645
430000,5515.663379840959
440000,6036.443440732635
450000,6333.888933904244
460000,6127.043899861053
470000,6229.883587400311
480000,6444.444065669756
490000,6349.833731634099
500000,6347.530455520426
