step,eval_return
10000,343.3065246123618
20000,557.49274917487
30000,62.51595815070526
40000,297.33493648284804
50000,262.88239028986044
60000,474.42943487356206
70000,353.31783641897243
80000,759.738572725774
90000,1292.386426701388
100000,671.1419012141635
110000,849.8044408034206
120000,902.2307155849458
130000,1451.215449973846
140000,1915.7439153677383
150000,2617.2500637190783
160000,2745.675569148634
170000,2103.228471736989
180000,1604.3040917288306
190000,2111.093323095928
200000,497.06601189089895
210000,2265.3326756193214
220000,1839.4517861601646
230000,2715.89305260189
240000,2605.763253712058
250000,2571.8750556704604
260000,2696.94613278016
270000,2673.317446753159
280000,2675.7867171877647
290000,2664.4397153997284
300000,2835.0115371231127
310000,2630.863330064535
320000,2825.7876135181587
330000,2641.2704352681953
340000,2732.7970555096754
350000,2748.531808717571
360000,2753.7114043504957
370000,2645.6253755398393
380000,2908.251992694779
390000,2876.470886609213
400000,2738.4149694872995
410000,2741.0568848879298
420000,2851.8344775082164
430000,2671.6133200227305
440000,2869.4676557127045
450000,2675.1780240069925
460000,2682.3567722442795
470000,2923.708951473255
480000,2948.330307094681
490000,2921.1406358029717
500000,2775.5646268303403
