step,eval_return
10000,-550.3465264497956
20000,-611.3463847946675
30000,558.0326957640499
40000,1107.4797774761269
50000,732.4975677015138
60000,1388.4389987784803
70000,1039.9749191010121
80000,2388.205305946525
90000,2153.574672163112
100000,2312.327682879162
110000,2940.6723509808485
120000,3159.328215321375
130000,2944.442371739065
140000,3304.1112488900703
150000,2678.155309358118
160000,3504.471015822056
170000,3533.5368520806987
180000,3496.7358514129314
190000,3790.4763102310035
200000,3365.522624306034
210000,3354.1166264868675
220000,3877.860864130038
230000,3918.4656976948418
240000,3934.1076468066412
250000,3961.0682664602327
260000,3898.0589367212815
270000,4143.761076278872
280000,3831.5682165020417
290000,4321.215104920111
300000,4211.328066947704
310000,4423.318472644738
320000,4155.221575425545
330000,3759.2900229406355
340000,4281.0043868905595
350000,3629.8261266177055
360000,4360.294144762434
370000,4384.296373616981
380000,3828.224187872215
390000,4452.224867554767
400000,4405.480249175091
410000,3764.091205953426
420000,4385.167673354872
430000,4520.011280034937
440000,4646.549185117988
450000,4033.4979839268976
460000,4659.749702089724
470000,4552.298465186061
480000,4021.6171999576736
490000,4746.3744107591965
500000,4586.392991333273
