step,eval_return
10000,-636.7499083370088
20000,-525.2743468508934
30000,-293.1899503325191
40000,1723.2739358398862
50000,-36.991227112914316
60000,800.1613807750298
70000,3354.568845592078
80000,3976.2771318179357
90000,3856.865944717197
100000,3502.7354125748775
110000,1650.1665545027201
120000,3423.79781343758
130000,3585.6754133405293
140000,4392.343136269592
150000,4348.636435089391
160000,3710.0657643120007
170000,3507.080388947447
180000,4439.406371952339
190000,4467.315168784682
200000,4655.884357706733
210000,4970.685186315751
220000,4853.866968742512
230000,4971.871911590324
240000,4562.585299640467
250000,5150.975246199116
260000,5075.238243248008
270000,5004.616020865765
280000,5734.021910939302
290000,5604.597905282297
300000,5183.954693471279
310000,5323.660139576001
320000,5287.242987554562
330000,5943.794418269326
340000,5783.999924385809
350000,6096.67014126223
360000,6051.500129684104
370000,6121.28648497768
380000,6270.865555658873
390000,6363.600286598288
400000,4261.676422073759
410000,6323.9934161477195
420000,6612.506615645635
430000,6429.715148690882
440000,5710.697356598264
450000,6523.47008862873
460000,6755.396193308043
470000,6875.666992123732
480000,6894.716474252842
490000,6817.9749886811505
500000,6090.583274861643
