step,eval_return
10000,65.35946122164736
20000,-24.222921074250245
30000,-24.907118706800574
40000,308.05570366987814
50000,194.88049212726702
60000,463.8355983684003
70000,342.15907142575486
80000,579.9197783977409
90000,448.3604544746593
100000,356.379741603391
110000,749.4260444569315
120000,564.7100984513797
130000,528.5301483075906
140000,871.6515956562514
150000,913.9076915394862
160000,1785.3611924632667
170000,2251.9052580863563
180000,2405.031427538708
190000,718.4245893445499
200000,1713.7911348586033
210000,2019.7092646564117
220000,2760.316030415602
230000,2704.6040102519214
240000,2660.4788552840564
250000,2988.3336714970005
260000,1719.7586918869063
270000,3183.6495830610393
280000,3156.1994466432443
290000,3123.3035989432456
300000,3201.490491401294
310000,3183.0733974744717
320000,2577.412957936133
330000,3197.3598850939056
340000,3144.1416139767302
350000,3234.718922842837
360000,3144.2284844662513
370000,3224.6047857245608
380000,3260.767882701726
390000,3188.053764230212
400000,3338.440507710344
410000,3266.474355284103
420000,3233.5489548214514
430000,3296.6874776348004
440000,3309.9047552170427
450000,3207.1575091806385
460000,3354.498427900659
470000,3274.693571869985
480000,3287.893363884519
490000,3405.172153441382
500000,3400.5417157784004
