step,eval_return
10000,360.2771978175918
20000,448.3493666015538
30000,62.81013648045471
40000,391.65231918828476
50000,712.2782694138422
60000,415.7069245901096
70000,492.7231250169545
80000,549.8308589749026
90000,496.0516871296071
100000,507.9774807764058
110000,506.07218011681846
120000,491.17505582668537
130000,468.1291855081489
140000,470.5134398029447
150000,429.13795148816945
160000,470.0586216832977
170000,509.3127653757847
180000,499.94661499790107
190000,539.0004726164718
200000,517.8804116328067
210000,559.075569486454
220000,508.51710715945353
230000,524.2253826138667
240000,541.4979109828971
250000,508.0852245318787
260000,517.5903964913964
270000,511.64921134408723
280000,571.3620533833467
290000,576.7173245797628
300000,529.3787043922496
310000,550.9173079647238
320000,578.0657346332918
330000,542.7520424395531
340000,570.5333034523774
350000,549.7992173625764
360000,567.2069023683673
370000,585.4513990602161
380000,588.3961030631041
390000,585.6594313354913
400000,558.9382423175649
410000,566.7083001473098
420000,584.1513540045007
430000,557.649742527253
440000,567.829946008101
450000,586.2851708494442
460000,560.8925029036354
470000,575.4926290189294
480000,601.7521839832727
490000,555.3484853808135
500000,584.7901103202748
