step,eval_return
10000,77.47118085172258
20000,215.77736629471414
30000,29.834955201710745
40000,360.99533720558514
50000,179.20546962510755
60000,384.74583482724466
70000,425.3717733984589
80000,214.36693712628502
90000,403.8006351525413
100000,410.73105763631673
110000,283.4929051097289
120000,297.56702795017173
130000,204.50656231976387
140000,587.268256944512
150000,687.2794434961239
160000,425.10893473723957
170000,408.4531542920423
180000,453.31123524205634
190000,465.323462607926
200000,621.6659527272419
210000,421.47984214577747
220000,473.9746445351813
230000,489.88362016355916
240000,458.65999405670954
250000,405.7951825637497
260000,450.4540580521116
270000,453.5743268287262
280000,460.9822090991314
290000,447.9697324778941
300000,461.50434927524213
310000,474.0134397720064
320000,465.47197628965614
330000,487.09455301479227
340000,488.1185961843059
350000,483.2760180384563
360000,487.20108587889854
370000,480.007895626909
380000,493.5693010234634
390000,482.4649997400288
400000,480.67063885442667
410000,487.2022431608687
420000,499.9764684201335
430000,496.3269400589379
440000,503.1441764517316
450000,501.927755613081
460000,500.59670209320745
470000,500.532449144552
480000,501.61524816152104
490000,511.6906977035762
500000,510.2637929638243
