step,eval_return
10000,111.34512300930703
20000,128.69878791631496
30000,185.87884990398635
40000,207.70284159448948
50000,443.7822714240874
60000,331.77441259298934
70000,322.7658750051471
80000,293.3183679395514
90000,992.9896874966453
100000,170.29874675159996
110000,601.3804980434961
120000,1002.9558787979746
130000,828.8976106179296
140000,347.4585743154317
150000,168.06783970992484
160000,800.2296806608363
170000,1035.5164764940826
180000,689.2196543010449
190000,183.058136415104
200000,342.5381057194485
210000,329.73699430319556
220000,1404.4451428901905
230000,1450.6434643142682
240000,491.2916770916099
250000,1095.363424879599
260000,880.7792204716004
270000,1734.0194557827278
280000,273.50947565618753
290000,622.4882710046749
300000,632.6915991731064
310000,646.1625297820458
320000,579.1730444982875
330000,982.4078493789999
340000,1019.0017356523165
350000,1926.517547600425
360000,2513.4492724839956
370000,1665.985681906525
380000,1951.4814805203466
390000,1873.1362109368588
400000,2489.019075956797
410000,2684.8024915500605
420000,2555.035126616843
430000,1318.4862324680312
440000,1788.997763121378
450000,2733.866967990106
460000,1240.4469018421057
470000,2802.9492268534827
480000,2952.987414873668
490000,2262.3864190110166
500000,2610.127201131342
