step,eval_return
10000,-476.22394413262737
20000,-593.9224608523712
30000,-467.37757003718764
40000,11.688361906645031
50000,119.80201507784022
60000,260.74777505794464
70000,447.1546049967692
80000,523.562702263762
90000,693.5586286547947
100000,874.250508344711
110000,1045.3636411379043
120000,1519.8946090403251
130000,567.3417004362375
140000,1672.7558733534825
150000,2318.63727764114
160000,1751.422410737945
170000,1908.298523889614
180000,2141.681739769347
190000,2744.035191110926
200000,2748.4384419819353
210000,2688.8124394579736
220000,2785.400589401147
230000,2606.010984885347
240000,2907.0502544724663
250000,2376.0145712863805
260000,3151.348755202279
270000,2356.428081496283
280000,3415.08661070183
290000,3388.3565135321523
300000,3138.6118707886535
310000,3614.8508556767724
320000,3628.1266385459953
330000,3663.1640643828932
340000,3772.9794296894347
350000,3819.6833731491474
360000,3015.415219925723
370000,3746.506064998141
380000,3775.8542013427855
390000,3770.305459637463
400000,3774.0043713317705
410000,3770.452372729328
420000,3467.165351644202
430000,4283.937215411201
440000,3995.3925418094686
450000,3215.6117728847057
460000,4003.5611231815165
470000,4287.372428960662
480000,3690.2590739079665
490000,4341.2604592232
500000,4224.955819353609
