step,eval_return
10000,214.06148726410075
20000,-36.68168022699665
30000,-31.583311191871196
40000,-14.893680163820997
50000,57.47089871486785
60000,169.6940750633852
70000,268.7158686938174
80000,120.593383874703
90000,321.77921416515636
100000,491.53264376898915
110000,351.31741151267454
120000,559.3618370849648
130000,786.6744402883035
140000,906.2810877629934
150000,476.2038519083817
160000,464.0456812354425
170000,426.9466449682274
180000,418.52058830653107
190000,682.0364935965873
200000,762.3483251556842
210000,899.3267310494178
220000,742.0581269410136
230000,531.0307992711954
240000,958.9530673538563
250000,1422.5294447577458
260000,2643.6765549681386
270000,1384.401717983068
280000,1012.115136984731
290000,1227.9176679573075
300000,1294.1329921030015
310000,1965.1333396931634
320000,323.21624999383664
330000,1525.3323758334332
340000,1352.6593951755253
350000,1775.9927457385322
360000,2070.58591506269
370000,2931.030504295693
380000,2418.3434518779695
390000,3184.3635669747046
400000,1917.345340709852
410000,2514.6058051570535
420000,3174.12699264095
430000,1919.1458667702675
440000,3793.521013674484
450000,3141.9607001729264
460000,3760.8931190493777
470000,4032.009040385887
480000,4159.730421700809
490000,4213.8410182315965
500000,3550.446890312806
