step,eval_return
10000,992.3781033028251
20000,-15.152785153189182
30000,183.05966718607255
40000,329.3513384735007
50000,286.53057172372263
60000,207.44498837352677
70000,439.75174998374416
80000,733.8046216209461
90000,323.4932519135738
100000,353.9676745593682
110000,153.12586181624198
120000,289.6579293322158
130000,223.52286335550866
140000,328.9452287245117
150000,326.95000031919
160000,808.5264075797148
170000,237.78778402183738
180000,267.82689068387833
190000,623.9382940928214
200000,1805.694394800094
210000,1239.0513160278217
220000,826.5356818360384
230000,1065.3484047418617
240000,817.6054315139647
250000,904.0222910798245
260000,958.610851208539
270000,673.8776582500903
280000,2042.6515889069474
290000,2741.3529525365266
300000,2323.298393645674
310000,2969.1410467383907
320000,2912.3288974285047
330000,2825.60682101096
340000,2931.329449128583
350000,2960.4873097042714
360000,2840.8750568723126
370000,2874.4120202574195
380000,3148.371380991523
390000,2952.5905018227786
400000,3046.960865637798
410000,3053.174059242203
420000,3128.5384880222605
430000,3014.1996506982164
440000,2923.8178928267425
450000,3051.580796082516
460000,3036.909980807139
470000,3017.9634669398215
480000,3129.5502104628627
490000,3147.4779379628535
500000,3030.53852389901
