step,eval_return
10000,-10.152438899092745
20000,33.50980386750484
30000,-12.597190385827371
40000,42.835364365622915
50000,174.05040686776314
60000,474.3855324050493
70000,229.63631807492152
80000,169.67980435363876
90000,261.3675129052359
100000,294.1527341069009
110000,73.02501802723928
120000,568.5724609930842
130000,190.05987516028688
140000,236.64480469886794
150000,249.5041333214295
160000,201.81929290730304
170000,369.0697766681928
180000,470.06867901597354
190000,548.9983344362736
200000,312.6057125108281
210000,150.85155609424578
220000,88.60128595050278
230000,537.1391411723316
240000,493.0544319301527
250000,395.75799645711174
260000,54.311175753169586
270000,599.5157541932651
280000,1134.535876610957
290000,526.176032183142
300000,744.3437031847022
310000,679.4440024681389
320000,1651.0440681787481
330000,1568.2324541411297
340000,2270.583928628813
350000,2455.217237484906
360000,1316.7629975681073
370000,2326.3058555618677
380000,1563.3714063439963
390000,2638.129218605839
400000,2837.9258142468707
410000,2919.957787045628
420000,1029.3372669451328
430000,2720.614024727346
440000,2120.858718985242
450000,2847.1777228341043
460000,3202.847428232064
470000,2105.725401080016
480000,2997.6639955594374
490000,3099.8087981606986
500000,3203.580340391817
