step,eval_return
10000,101.12502819135162
20000,247.13836298237993
30000,-32.56500172298756
40000,162.64819876536913
50000,144.98788331111223
60000,167.35401220892015
70000,287.33523604564425
80000,617.4163177082827
90000,445.4798820263539
100000,289.7234580537614
110000,659.5446032948332
120000,569.5088872820804
130000,681.7901766052348
140000,304.6938342724785
150000,408.02407350869476
160000,414.60954210015717
170000,404.64149460568626
180000,484.04847259784117
190000,433.2295215011874
200000,482.77301330573016
210000,346.3018164792554
220000,466.5220774822242
230000,362.6310404266024
240000,376.240056541724
250000,535.8648325295932
260000,536.1669341126673
270000,627.6263895756883
280000,560.6977644192818
290000,610.5700606582992
300000,565.3376246239377
310000,719.3018354798794
320000,686.1615799131939
330000,748.6405143824779
340000,799.8053173238668
350000,790.8147374084049
360000,794.2084275576384
370000,683.4730248339504
380000,794.0946065623651
390000,1023.8932245778038
400000,913.0549156151852
410000,2062.515919401182
420000,901.2812437100732
430000,967.1496796409076
440000,915.5559394566251
450000,922.6306146393708
460000,1149.45564295437
470000,1728.6841068289057
480000,900.0991588647587
490000,1287.0328260598549
500000,1110.5865437830857
